STANDARD_NAME	NICO_DN
SYSTEMATIC_NAME	NICO_DN
COLLECTION	NICO_DN_20250618
NAMESPACE	NICO
DESCRIPTION_BRIEF	DN-only induced overexpression
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	Nico
CONTRIBUTOR	Steffen
GENE_SYMBOLS	PMEPA1,SFRP1,ID2,THBS1,DKK1,SDC1,COL4A1,MCM7,PMP22,FLNA,FN1,SLC6A8
